Acompanhamento por Destinação de Recursos - Gerado em  20/10/2019 01:42:53

Código do Ativo	Data de Registro CVM	Emissor	Destinação de Recursos	Volume	Moeda	Situação	
LBAM22    	08/08/1985	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	16.689.722.500,00	CR$	Exc.
LBAM23    	02/08/1991	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	4.337.730.800,00	Cr$	Exc.
LBIC13    	18/07/2008	CCB BRASIL ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	90.000.000,00	R$	Exc.
LBMC11    	17/10/1991	LEASING BMC S/A  ARREND MERCANTIL	Aquisição de Bens para Arrendamento	700.000.000,00	Cr$	Exc.
LBMC12    	18/09/1995	LEASING BMC S/A  ARREND MERCANTIL	Aquisição de Bens para Arrendamento	40.000.000,00	R$	Exc.
LBMC21    	13/02/1992	LEASING BMC S/A  ARREND MERCANTIL	Aquisição de Bens para Arrendamento	5.000.000.000,00	Cr$	Exc.
LEAM11    	11/08/1995	COMPAQ FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	2.000.000,00	R$	Exc.
LEAM12    	14/11/1997	COMPAQ FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	8.000.000,00	R$	Exc.
LEAM31    	15/07/1996	COMPAQ FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	2.000.000,00	R$	Exc.
LLAM12    	02/04/1992	HSBC BRASIL S.A - BANCO DE INVESTIMENTO	Aquisição de Bens para Arrendamento	4.500.000.000,00	Cr$	Exc.
MBMG11    	29/11/2001	BMG LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	45.000.000,00	R$	Exc.
MCBR11    	04/12/1996	MERCANTIL BRASIL LEASING S/A ARREND MERC	Aquisição de Bens para Arrendamento	30.000.000,00	R$	Exc.
MCBR12    	13/08/1998	MERCANTIL BRASIL LEASING S/A ARREND MERC	Aquisição de Bens para Arrendamento	90.000.000,00	R$	Exc.
MERC13    	22/02/2001	MERCANTIL BRASIL LEASING S/A ARREND MERC	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
NAFC11    	05/01/1995	NACIONAL FACTORING S/A	Aquisição de Bens para Arrendamento	23.935.000,00	R$	Exc.
NAL11     	05/04/1990	NACIONAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	300.000.000,00	Cr$	Exc.
NAL12     	28/05/1991	NACIONAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	12.000.000.000,00	Cr$	Exc.
NAL13     	19/04/1995	NACIONAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
NAL14     	30/06/1995	NACIONAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	400.000.000,00	R$	Exc.
PANA11    	27/10/2000	PAN ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
